id,name,latitude,longitude,active,explosive,startyear,startmonth
107,Kanlaon,10.412,123.132,FALSE,2,2015,11
108,Kuchinoerabujima,30.443,130.217,FALSE,3,2015,5
109,Gamalama,0.8,127.33,FALSE,2,2015,7
110,Rinjani,-8.42,116.47,FALSE,2,2015,10
111,Sangay,-2.005,-78.341,FALSE,2,2015,1
112,Wolf,0.02,-91.35,FALSE,4,2015,5
113,Copahue,-37.856,-71.183,FALSE,2,2015,9
114,Cotopaxi,-0.677,-78.436,FALSE,2,2015,8
115,Sabancaya,-15.787,-71.857,FALSE,1,2015,6
116,Lokon-Empung,1.358,124.792,FALSE,1,2015,8
117,Turrialba,10.025,-83.767,TRUE,2,2015,3
118,Lokon-Empung,1.358,124.792,FALSE,1,2015,5
119,Tengger Caldera,-7.942,112.95,FALSE,2,2015,11
120,Soputan,1.112,124.737,FALSE,3,2015,1
121,Raung,-8.119,114.056,FALSE,3,2015,2
122,Sirung,-8.508,124.13,FALSE,1,2015,7
123,Momotombo,12.423,-86.539,FALSE,2,2015,12
124,Telica,12.606,-86.84,FALSE,2,2015,9
125,"Fournaise, Piton de la",-21.244,55.708,FALSE,0,2015,2
126,Saunders,-57.8,-26.483,FALSE,0,2015,8
127,Chikurachki,50.324,155.461,FALSE,3,2015,2
128,San Miguel,13.434,-88.269,FALSE,1,2015,1
129,Lascar,-23.37,-67.73,FALSE,2,2015,10
130,Calbuco,-41.33,-72.618,FALSE,4,2015,4
131,Klyuchevskoy,56.056,160.642,FALSE,3,2015,8
132,Alaid,50.861,155.565,FALSE,1,2015,9
133,Klyuchevskoy,56.056,160.642,FALSE,2,2015,1
134,San Cristobal,12.702,-87.004,FALSE,2,2015,3
135,Asamayama,36.406,138.523,FALSE,1,2015,6
136,Kick 'em Jenny,12.3,-61.64,FALSE,0,2015,7
137,Hakoneyama,35.233,139.021,FALSE,1,2015,6
138,San Miguel,13.434,-88.269,FALSE,1,2015,8
139,Axial Seamount,45.95,-130,FALSE,0,2015,4
140,Telica,12.606,-86.84,FALSE,2,2015,5
141,Pacaya,14.382,-90.601,TRUE,1,2015,6
142,Slamet,-7.242,109.208,FALSE,2,2014,3
143,Kavachi,-8.991,157.979,FALSE,1,2014,1
144,Turrialba,10.025,-83.767,FALSE,2,2014,10
145,Merapi,-7.54,110.446,FALSE,3,2014,3
146,Kelut,-7.93,112.308,FALSE,4,2014,2
147,Rabaul,-4.271,152.203,FALSE,3,2014,7
148,Kuchinoerabujima,30.443,130.217,FALSE,1,2014,8
149,Fogo,14.95,-24.35,FALSE,3,2014,11
150,"Ruiz, Nevado del",4.892,-75.324,FALSE,2,2014,11
